epochs,neuronsPerClass,LR,testClass,result,guessIndex
2,1,0.1,Drink_glass,0.3157894736842105,0
2,1,0.1,Eat_meat,0.4788169464428457,0
2,1,0.1,Brush_teeth,0.1750911933298593,1
2,1,0.1,Pour_water,0.44545454545454544,0
2,1,0.1,Climb_stairs,0.0106951871657754,6
,,,,,
2,2,0.001,Standup_chair,0.0594059405940594,3
2,2,0.001,Walk,0.002680965147453083,6
2,2,0.001,Sitdown_chair,0.09090909090909091,4
2,2,0.001,Use_telephone,0.5360230547550432,0
2,2,0.001,Comb_hair,0.004310344827586207,11
2,2,0.001,Getup_bed,0.1743119266055046,1
2,2,0.001,Eat_soup,0.3129973474801061,1
2,2,0.001,Descend_stairs,0.45495495495495497,0
2,2,0.001,Liedown_bed,0.024822695035460994,7
2,2,0.001,Drink_glass,0.10526315789473684,2
2,2,0.001,Eat_meat,0.39248601119104715,0
2,2,0.001,Brush_teeth,0.0583637311099531,5
2,2,0.001,Pour_water,0.03636363636363636,7
2,2,0.001,Climb_stairs,0.0374331550802139,4
,,,,,
2,2,0.01,Standup_chair,0.009900990099009901,4
2,2,0.01,Walk,0.005361930294906166,5
2,2,0.01,Sitdown_chair,0.12121212121212122,3
2,2,0.01,Use_telephone,0.42939481268011526,0
2,2,0.01,Comb_hair,0.04310344827586207,8
2,2,0.01,Getup_bed,0.03669724770642202,8
2,2,0.01,Eat_soup,0.3050397877984085,1
2,2,0.01,Descend_stairs,0.47297297297297297,0
2,2,0.01,Liedown_bed,0.03546099290780142,7
2,2,0.01,Drink_glass,0.14736842105263157,2
2,2,0.01,Eat_meat,0.3828936850519584,0
2,2,0.01,Brush_teeth,0.12767066180302242,2
2,2,0.01,Pour_water,0.07272727272727272,5
2,2,0.01,Climb_stairs,0.053475935828877004,3
,,,,,
2,2,0.1,Standup_chair,-1,-1
2,2,0.1,Walk,0.04289544235924933,3
2,2,0.1,Sitdown_chair,0.22727272727272727,1
2,2,0.1,Use_telephone,0.2564841498559078,1
2,2,0.1,Comb_hair,0.0603448275862069,5
2,2,0.1,Getup_bed,0.045871559633027525,7
2,2,0.1,Eat_soup,0.38726790450928383,0
2,2,0.1,Descend_stairs,0.35585585585585583,0
2,2,0.1,Liedown_bed,0.047872340425531915,5
2,2,0.1,Drink_glass,0.29473684210526313,0
2,2,0.1,Eat_meat,0.35571542765787373,0
2,2,0.1,Brush_teeth,0.19437206878582594,1
2,2,0.1,Pour_water,0.33636363636363636,1
2,2,0.1,Climb_stairs,0.0748663101604278,3
,,,,,
2,5,0.001,Standup_chair,0.0891089108910891,2
2,5,0.001,Walk,0.4450402144772118,0
2,5,0.001,Sitdown_chair,0.015151515151515152,6
2,5,0.001,Use_telephone,0.414985590778098,0
2,5,0.001,Comb_hair,0.10991379310344827,1
2,5,0.001,Getup_bed,0.10091743119266056,3
2,5,0.001,Eat_soup,0.3103448275862069,1
2,5,0.001,Descend_stairs,0.27927927927927926,1
2,5,0.001,Liedown_bed,0.031914893617021274,8
2,5,0.001,Drink_glass,0.8526315789473684,0
2,5,0.001,Eat_meat,0.3669064748201439,0
2,5,0.001,Brush_teeth,0.24283480979676916,1
2,5,0.001,Pour_water,0.05454545454545454,5
2,5,0.001,Climb_stairs,0.13368983957219252,3
,,,,,
2,5,0.01,Standup_chair,0.0891089108910891,3
2,5,0.01,Walk,0.41823056300268097,0
2,5,0.01,Sitdown_chair,0.015151515151515152,7
2,5,0.01,Use_telephone,0.37175792507204614,0
2,5,0.01,Comb_hair,0.13793103448275862,1
2,5,0.01,Getup_bed,0.06422018348623854,5
2,5,0.01,Eat_soup,0.29708222811671087,1
2,5,0.01,Descend_stairs,0.2702702702702703,0
2,5,0.01,Liedown_bed,0.030141843971631204,8
2,5,0.01,Drink_glass,0.8842105263157894,0
2,5,0.01,Eat_meat,0.37569944044764186,0
2,5,0.01,Brush_teeth,0.23397602918186555,1
2,5,0.01,Pour_water,0.06363636363636363,5
2,5,0.01,Climb_stairs,0.19786096256684493,2
,,,,,
2,5,0.1,Standup_chair,0.039603960396039604,5
2,5,0.1,Walk,0.3485254691689008,0
2,5,0.1,Sitdown_chair,0.045454545454545456,4
2,5,0.1,Use_telephone,0.12968299711815562,2
2,5,0.1,Comb_hair,0.13577586206896552,2
2,5,0.1,Getup_bed,0.03669724770642202,7
2,5,0.1,Eat_soup,0.33156498673740054,1
2,5,0.1,Descend_stairs,0.3108108108108108,0
2,5,0.1,Liedown_bed,0.03368794326241135,8
2,5,0.1,Drink_glass,0.8421052631578947,0
2,5,0.1,Eat_meat,0.3780975219824141,0
2,5,0.1,Brush_teeth,0.23189161021365295,1
2,5,0.1,Pour_water,0.2818181818181818,1
2,5,0.1,Climb_stairs,0.20320855614973263,1
,,,,,
2,10,0.001,Standup_chair,0.06930693069306931,3
2,10,0.001,Walk,0.546916890080429,0
2,10,0.001,Sitdown_chair,-1,-1
2,10,0.001,Use_telephone,0.34870317002881845,0
2,10,0.001,Comb_hair,0.1206896551724138,1
2,10,0.001,Getup_bed,0.07339449541284404,5
2,10,0.001,Eat_soup,0.1830238726790451,2
2,10,0.001,Descend_stairs,0.31981981981981983,1
2,10,0.001,Liedown_bed,0.1595744680851064,1
2,10,0.001,Drink_glass,0.43157894736842106,0
2,10,0.001,Eat_meat,0.4180655475619504,0
2,10,0.001,Brush_teeth,0.21573736321000522,1
2,10,0.001,Pour_water,0.2,0
2,10,0.001,Climb_stairs,0.053475935828877004,4
,,,,,
2,10,0.01,Standup_chair,0.07920792079207921,4
2,10,0.01,Walk,0.5361930294906166,0
2,10,0.01,Sitdown_chair,-1,-1
2,10,0.01,Use_telephone,0.3515850144092219,0
2,10,0.01,Comb_hair,0.11422413793103449,2
2,10,0.01,Getup_bed,0.07339449541284404,5
2,10,0.01,Eat_soup,0.1856763925729443,2
2,10,0.01,Descend_stairs,0.36486486486486486,0
2,10,0.01,Liedown_bed,0.16666666666666666,1
2,10,0.01,Drink_glass,0.4631578947368421,0
2,10,0.01,Eat_meat,0.4276578737010392,0
2,10,0.01,Brush_teeth,0.2678478374153205,1
2,10,0.01,Pour_water,0.20909090909090908,0
2,10,0.01,Climb_stairs,0.0748663101604278,3
,,,,,
2,10,0.1,Standup_chair,0.07920792079207921,5
2,10,0.1,Walk,0.4879356568364611,0
2,10,0.1,Sitdown_chair,-1,-1
2,10,0.1,Use_telephone,0.29394812680115273,1
2,10,0.1,Comb_hair,0.12931034482758622,0
2,10,0.1,Getup_bed,0.01834862385321101,8
2,10,0.1,Eat_soup,0.246684350132626,1
2,10,0.1,Descend_stairs,0.4189189189189189,0
2,10,0.1,Liedown_bed,0.21631205673758866,1
2,10,0.1,Drink_glass,0.6105263157894737,0
2,10,0.1,Eat_meat,0.4548361310951239,0
2,10,0.1,Brush_teeth,0.23710265763418448,1
2,10,0.1,Pour_water,0.3181818181818182,0
2,10,0.1,Climb_stairs,0.2192513368983957,1
,,,,,
5,1,0.001,Standup_chair,0.09900990099009901,3
5,1,0.001,Walk,-1,-1
5,1,0.001,Sitdown_chair,0.045454545454545456,4
5,1,0.001,Use_telephone,0.521613832853026,0
5,1,0.001,Comb_hair,0.02586206896551724,8
5,1,0.001,Getup_bed,0.027522935779816515,8
5,1,0.001,Eat_soup,0.3952254641909814,1
5,1,0.001,Descend_stairs,0.45495495495495497,0
5,1,0.001,Liedown_bed,0.015957446808510637,7
5,1,0.001,Drink_glass,0.1368421052631579,2
5,1,0.001,Eat_meat,0.36610711430855314,0
5,1,0.001,Brush_teeth,0.19906201146430433,1
5,1,0.001,Pour_water,0.06363636363636363,5
5,1,0.001,Climb_stairs,0.016042780748663103,5
,,,,,
5,1,0.01,Standup_chair,-1,-1
5,1,0.01,Walk,0.029490616621983913,3
5,1,0.01,Sitdown_chair,0.045454545454545456,5
5,1,0.01,Use_telephone,0.2680115273775216,0
5,1,0.01,Comb_hair,0.0625,6
5,1,0.01,Getup_bed,-1,-1
5,1,0.01,Eat_soup,0.47745358090185674,0
5,1,0.01,Descend_stairs,0.3918918918918919,0
5,1,0.01,Liedown_bed,0.05319148936170213,3
5,1,0.01,Drink_glass,0.17894736842105263,2
5,1,0.01,Eat_meat,0.45643485211830537,0
5,1,0.01,Brush_teeth,0.20010422094841063,2
5,1,0.01,Pour_water,0.2727272727272727,1
5,1,0.01,Climb_stairs,0.026737967914438502,5
,,,,,
5,1,0.1,Standup_chair,0.12871287128712872,2
5,1,0.1,Walk,0.03753351206434316,2
5,1,0.1,Sitdown_chair,0.15151515151515152,2
5,1,0.1,Use_telephone,0.22478386167146974,0
5,1,0.1,Comb_hair,0.26939655172413796,0
5,1,0.1,Getup_bed,-1,-1
5,1,0.1,Eat_soup,0.713527851458886,0
5,1,0.1,Descend_stairs,0.3783783783783784,0
5,1,0.1,Liedown_bed,0.18971631205673758,2
5,1,0.1,Drink_glass,-1,-1
5,1,0.1,Eat_meat,0.390087929656275,0
5,1,0.1,Brush_teeth,0.26159458051068263,1
5,1,0.1,Pour_water,0.34545454545454546,0
5,1,0.1,Climb_stairs,0.0213903743315508,5
,,,,,
5,2,0.001,Standup_chair,0.039603960396039604,4
5,2,0.001,Walk,0.002680965147453083,6
5,2,0.001,Sitdown_chair,0.09090909090909091,4
5,2,0.001,Use_telephone,0.5331412103746398,0
5,2,0.001,Comb_hair,0.01939655172413793,11
5,2,0.001,Getup_bed,0.14678899082568808,1
5,2,0.001,Eat_soup,0.3129973474801061,1
