epochs,neuronsPerClass,LR,testClass,result,guessIndex
2,10,0.1,Eat_soup,-1,-1
2,10,0.1,Descend_stairs,-1,-1
2,10,0.1,Liedown_bed,0.0017730496453900709,8
2,10,0.1,Drink_glass,0.010526315789473684,2
2,10,0.1,Eat_meat,-1,-1
2,10,0.1,Brush_teeth,0.8791036998436685,0
2,10,0.1,Pour_water,-1,-1
2,10,0.1,Climb_stairs,-1,-1
,,,,,
5,1,0.001,Standup_chair,-1,-1
5,1,0.001,Walk,-1,-1
5,1,0.001,Sitdown_chair,-1,-1
5,1,0.001,Use_telephone,-1,-1
5,1,0.001,Comb_hair,0.4245689655172414,0
5,1,0.001,Getup_bed,-1,-1
5,1,0.001,Eat_soup,-1,-1
5,1,0.001,Descend_stairs,-1,-1
5,1,0.001,Liedown_bed,0.012411347517730497,4
5,1,0.001,Drink_glass,-1,-1
5,1,0.001,Eat_meat,-1,-1
5,1,0.001,Brush_teeth,0.8572173006774362,0
5,1,0.001,Pour_water,-1,-1
5,1,0.001,Climb_stairs,-1,-1
,,,,,
5,1,0.01,Standup_chair,-1,-1
5,1,0.01,Walk,-1,-1
5,1,0.01,Sitdown_chair,-1,-1
5,1,0.01,Use_telephone,-1,-1
5,1,0.01,Comb_hair,0.5043103448275862,0
5,1,0.01,Getup_bed,-1,-1
5,1,0.01,Eat_soup,-1,-1
5,1,0.01,Descend_stairs,-1,-1
5,1,0.01,Liedown_bed,-1,-1
5,1,0.01,Drink_glass,-1,-1
5,1,0.01,Eat_meat,-1,-1
5,1,0.01,Brush_teeth,0.9207920792079208,0
5,1,0.01,Pour_water,-1,-1
5,1,0.01,Climb_stairs,-1,-1
,,,,,
5,1,0.1,Standup_chair,1.0,0
5,1,0.1,Walk,-1,-1
5,1,0.1,Sitdown_chair,-1,-1
5,1,0.1,Use_telephone,-1,-1
5,1,0.1,Comb_hair,-1,-1
5,1,0.1,Getup_bed,-1,-1
5,1,0.1,Eat_soup,-1,-1
5,1,0.1,Descend_stairs,-1,-1
5,1,0.1,Liedown_bed,-1,-1
5,1,0.1,Drink_glass,-1,-1
5,1,0.1,Eat_meat,-1,-1
5,1,0.1,Brush_teeth,-1,-1
5,1,0.1,Pour_water,-1,-1
5,1,0.1,Climb_stairs,-1,-1
